text,sentiment,weight
شادمانی,شادی,1.1
خرسندی,شادی,0.9
بهجت,شادی,0.8
فرحانگیز,شادی,1
فرح انگیز,شادی,1
شورانگیز,شادی,0.9
شور انگیز,شادی,0.9
نشاط,شادی,0.8
طرب,شادی,0.7
شادخواری,شادی,0.6
شاد خواری,شادی,0.6
مسرت,شادی,0.9
بهجت,شادی,0.8
شکوفا,شادی,0.7
غرور,شادی,0.6
پیروزی,شادی,0.9
کامیابی,شادی,0.8
سربلندی,شادی,0.7
پیروزمند,شادی,0.8
فیروز,شادی,0.7
سرفراز,شادی,0.6
شکوه,شادی,0.5
جشن,شادی,0.9
مهمانی,شادی,0.7
پارتی,شادی,0.6
پاکشادی,شادی,0.8
شادکامی,شادی,0.9
خوشدلی,شادی,0.8
خوشطینت,شادی,0.7
خوش طینت,شادی,0.7
خوشخلق,شادی,0.6
خوش خلق,شادی,0.6
خوشمشرب,شادی,0.5
خوش مشرب,شادی,0.5
خوشبرخورد,شادی,0.6
خوش برخورد,شادی,0.6
خوشپوش,شادی,0.4
خوش پوش,شادی,0.4
خوشسیما,شادی,0.4
خوش سیما,شادی,0.4
خوشگل,شادی,0.5
زیبا,شادی,0.5
دلربا,شادی,0.6
دلنشین,شادی,0.7
دلپذیر,شادی,0.6
دلانگیز,شادی,0.7
دل انگیز,شادی,0.7
خوشایند,شادی,0.7
مطلوب,شادی,0.6
موردپسند,شادی,0.5
مورد پسند,شادی,0.5
پسندیده,شادی,0.6
دلچسب,شادی,0.7
دل چسب,شادی,0.7
لذتبخش,شادی,0.8
لذت بخش,شادی,0.8
خوشمزه,شادی,0.5
خوش مزه,شادی,0.5
خوشطعم,شادی,0.4
خوشعطر,شادی,0.4
خوشبو,شادی,0.4
خوش طعم,شادی,0.4
خوش عطر,شادی,0.4
خوش بو,شادی,0.4
عاشقانه,شادی,0.9
عاشق,شادی,1
معشوق,شادی,0.8
دلدار,شادی,0.7
دلبند,شادی,0.8
دلبر,شادی,0.7
یار,شادی,0.6
همدم,شادی,0.5
همراه,شادی,0.4
غمگسار,غم,0.7
اندوهگین,غم,0.9
سوگوار,غم,1
داغدیده,غم,1.1
ماتمزده,غم,1
داغ دیده,غم,1.1
ماتم زده,غم,1
عزادار,غم,0.9
