batch, height, width, group, channels, stride, thread, block
64, 56, 56, 4, 16, 8, 448, 56
64, 28, 28, 4, 16, 8, 448, 56
64, 14, 14, 4, 16, 8, 32, 4
64, 7, 7, 4, 16, 8, 56, 7
1, 200, 320, 4, 16, 8, 32, 4
1, 100, 160, 4, 16, 8, 32, 4
1, 50, 80, 4, 16, 4, 512, 32
1, 25, 40, 4, 16, 4, 320, 20
1, 64, 64, 4, 16, 8, 512, 64
64, 56, 56, 5, 16, 8, 490, 49
64, 28, 28, 5, 16, 8, 490, 49
64, 14, 14, 5, 16, 8, 280, 28
64, 7, 7, 5, 16, 4, 140, 7
1, 200, 320, 5, 16, 4, 400, 20
1, 100, 160, 5, 16, 4, 400, 20
1, 50, 80, 5, 16, 8, 500, 50
1, 25, 40, 5, 16, 8, 20, 2
1, 64, 64, 5, 16, 8, 320, 32
64, 56, 56, 6, 16, 8, 768, 64
64, 28, 28, 6, 16, 8, 672, 56
64, 14, 14, 6, 16, 8, 336, 28
64, 7, 7, 6, 16, 8, 84, 7
1, 200, 320, 6, 16, 4, 600, 25
1, 100, 160, 6, 16, 4, 600, 25
1, 50, 80, 6, 16, 8, 600, 50
1, 25, 40, 6, 16, 2, 240, 5
1, 64, 64, 6, 16, 8, 384, 32
64, 56, 56, 7, 16, 8, 896, 64
64, 28, 28, 7, 16, 8, 686, 49
64, 14, 14, 7, 16, 8, 392, 28
64, 7, 7, 7, 16, 8, 686, 49
1, 200, 320, 7, 16, 8, 700, 50
1, 100, 160, 7, 16, 8, 700, 50
1, 50, 80, 7, 16, 8, 700, 50
1, 25, 40, 7, 16, 8, 70, 5
1, 64, 64, 7, 16, 8, 448, 32
64, 56, 56, 8, 16, 8, 448, 28
64, 28, 28, 8, 16, 8, 448, 28
64, 14, 14, 8, 16, 8, 448, 28
64, 7, 7, 8, 16, 8, 784, 49
1, 200, 320, 8, 16, 8, 800, 50
1, 100, 160, 8, 16, 4, 640, 20
1, 50, 80, 8, 16, 8, 800, 50
1, 25, 40, 8, 16, 4, 64, 2
1, 64, 64, 8, 16, 8, 256, 16
64, 56, 56, 4, 32, 8, 448, 28
64, 28, 28, 4, 32, 8, 448, 28
64, 14, 14, 4, 32, 8, 448, 28
64, 7, 7, 4, 32, 8, 112, 7
1, 200, 320, 4, 32, 8, 512, 32
1, 100, 160, 4, 32, 8, 800, 50
1, 50, 80, 4, 32, 8, 800, 50
1, 25, 40, 4, 32, 4, 128, 4
1, 64, 64, 4, 32, 8, 128, 8
64, 56, 56, 5, 32, 8, 560, 28
64, 28, 28, 5, 32, 8, 560, 28
64, 14, 14, 5, 32, 8, 560, 28
64, 7, 7, 5, 32, 8, 980, 49
1, 200, 320, 5, 32, 8, 500, 25
1, 100, 160, 5, 32, 8, 800, 40
1, 50, 80, 5, 32, 8, 1000, 50
1, 25, 40, 5, 32, 4, 200, 5
1, 64, 64, 5, 32, 8, 640, 32
64, 56, 56, 6, 32, 8, 336, 14
64, 28, 28, 6, 32, 8, 336, 14
64, 14, 14, 6, 32, 8, 336, 14
64, 7, 7, 6, 32, 16, 588, 49
1, 200, 320, 6, 32, 8, 480, 20
1, 100, 160, 6, 32, 8, 480, 20
1, 50, 80, 6, 32, 16, 600, 50
1, 25, 40, 6, 32, 8, 96, 4
1, 64, 64, 6, 32, 8, 768, 32
64, 56, 56, 7, 32, 8, 448, 16
64, 28, 28, 7, 32, 8, 448, 16
64, 14, 14, 7, 32, 8, 196, 7
64, 7, 7, 7, 32, 8, 28, 1
1, 200, 320, 7, 32, 8, 448, 16
1, 100, 160, 7, 32, 8, 448, 16
1, 50, 80, 7, 32, 8, 700, 25
1, 25, 40, 7, 32, 8, 56, 2
1, 64, 64, 7, 32, 8, 896, 32
64, 56, 56, 8, 32, 8, 448, 14
64, 28, 28, 8, 32, 8, 448, 14
64, 14, 14, 8, 32, 8, 448, 14
64, 7, 7, 8, 32, 8, 32, 1
1, 200, 320, 8, 32, 8, 512, 16
1, 100, 160, 8, 32, 8, 800, 25
1, 50, 80, 8, 32, 8, 800, 25
1, 25, 40, 8, 32, 4, 512, 8
1, 64, 64, 8, 32, 8, 32, 1
64, 56, 56, 4, 64, 8, 448, 14
64, 28, 28, 4, 64, 8, 448, 14
64, 14, 14, 4, 64, 8, 448, 14
64, 7, 7, 4, 64, 8, 32, 1
1, 200, 320, 4, 64, 8, 512, 16
1, 100, 160, 4, 64, 8, 512, 16
1, 50, 80, 4, 64, 8, 800, 25
1, 25, 40, 4, 64, 8, 640, 20
1, 64, 64, 4, 64, 8, 512, 16
64, 56, 56, 5, 64, 8, 560, 14
64, 28, 28, 5, 64, 8, 560, 14
64, 14, 14, 5, 64, 8, 560, 14
64, 7, 7, 5, 64, 8, 280, 7
1, 200, 320, 5, 64, 8, 800, 20
1, 100, 160, 5, 64, 8, 800, 20
1, 50, 80, 5, 64, 8, 1000, 25
1, 25, 40, 5, 64, 8, 80, 2
1, 64, 64, 5, 64, 8, 320, 8
64, 56, 56, 6, 64, 8, 768, 16
64, 28, 28, 6, 64, 8, 768, 16
64, 14, 14, 6, 64, 8, 336, 7
64, 7, 7, 6, 64, 8, 336, 7
1, 200, 320, 6, 64, 8, 768, 16
1, 100, 160, 6, 64, 8, 480, 10
1, 50, 80, 6, 64, 16, 240, 10
1, 25, 40, 6, 64, 8, 240, 5
1, 64, 64, 6, 64, 8, 768, 16
64, 56, 56, 7, 64, 8, 896, 16
64, 28, 28, 7, 64, 8, 448, 8
64, 14, 14, 7, 64, 8, 392, 7
64, 7, 7, 7, 64, 8, 56, 1
1, 200, 320, 7, 64, 8, 896, 16
1, 100, 160, 7, 64, 8, 448, 8
1, 50, 80, 7, 64, 8, 448, 8
1, 25, 40, 7, 64, 8, 448, 8
1, 64, 64, 7, 64, 8, 448, 8
64, 56, 56, 8, 64, 8, 896, 14
64, 28, 28, 8, 64, 8, 896, 14
64, 14, 14, 8, 64, 8, 448, 7
64, 7, 7, 8, 64, 8, 64, 1
1, 200, 320, 8, 64, 8, 512, 8
1, 100, 160, 8, 64, 8, 512, 8
1, 50, 80, 8, 64, 8, 512, 8
1, 25, 40, 8, 64, 8, 512, 8
1, 64, 64, 8, 64, 8, 512, 8
