batch, height, width, group, channels, stride, thread, block
64, 56, 56, 4, 16, 1, 256, 4
64, 56, 56, 5, 16, 1, 320, 4
64, 56, 56, 6, 16, 1, 192, 2
64, 56, 56, 7, 16, 1, 224, 2
64, 56, 56, 8, 16, 1, 256, 2
64, 56, 56, 4, 32, 1, 256, 2
64, 56, 56, 5, 32, 1, 160, 1
64, 56, 56, 6, 32, 1, 192, 1
64, 56, 56, 7, 32, 1, 224, 1
64, 56, 56, 8, 32, 1, 256, 1
64, 56, 56, 4, 64, 2, 512, 4
64, 56, 56, 5, 64, 2, 640, 4
64, 56, 56, 6, 64, 2, 384, 2
64, 56, 56, 7, 64, 2, 224, 1
64, 56, 56, 8, 64, 2, 1024, 4
64, 28, 28, 4, 16, 1, 128, 2
64, 28, 28, 5, 16, 1, 320, 4
64, 28, 28, 6, 16, 1, 96, 1
64, 28, 28, 7, 16, 1, 224, 2
64, 28, 28, 8, 16, 1, 128, 1
64, 28, 28, 4, 32, 1, 128, 1
64, 28, 28, 5, 32, 1, 320, 2
64, 28, 28, 6, 32, 1, 192, 1
64, 28, 28, 7, 32, 1, 224, 1
64, 28, 28, 8, 32, 1, 256, 1
64, 28, 28, 4, 64, 2, 512, 4
64, 28, 28, 5, 64, 2, 640, 4
64, 28, 28, 6, 64, 2, 384, 2
64, 28, 28, 7, 64, 2, 224, 1
64, 28, 28, 8, 64, 2, 512, 2
64, 14, 14, 4, 16, 1, 128, 2
64, 14, 14, 5, 16, 1, 320, 4
64, 14, 14, 6, 16, 1, 192, 2
64, 14, 14, 7, 16, 1, 224, 2
64, 14, 14, 8, 16, 1, 128, 1
64, 14, 14, 4, 32, 1, 256, 2
64, 14, 14, 5, 32, 1, 160, 1
64, 14, 14, 6, 32, 1, 192, 1
64, 14, 14, 7, 32, 1, 224, 1
64, 14, 14, 8, 32, 1, 256, 1
64, 14, 14, 4, 64, 2, 128, 1
64, 14, 14, 5, 64, 2, 160, 1
64, 14, 14, 6, 64, 2, 384, 2
64, 14, 14, 7, 64, 2, 224, 1
64, 14, 14, 8, 64, 2, 256, 1
64, 7, 7, 4, 16, 4, 784, 49
64, 7, 7, 5, 16, 2, 280, 7
64, 7, 7, 6, 16, 2, 48, 1
64, 7, 7, 7, 16, 2, 392, 7
64, 7, 7, 8, 16, 1, 128, 1
64, 7, 7, 4, 32, 1, 128, 1
64, 7, 7, 5, 32, 1, 160, 1
64, 7, 7, 6, 32, 2, 96, 1
64, 7, 7, 7, 32, 2, 112, 1
64, 7, 7, 8, 32, 2, 128, 1
64, 7, 7, 4, 64, 2, 896, 7
64, 7, 7, 5, 64, 2, 160, 1
64, 7, 7, 6, 64, 2, 192, 1
64, 7, 7, 7, 64, 2, 224, 1
64, 7, 7, 8, 64, 2, 256, 1
1, 200, 320, 4, 16, 1, 320, 5
1, 200, 320, 5, 16, 1, 320, 4
